GC_Run ,Date,ID,Time_mins ,Chamber_Temp_C,Surface_Area_cm2,Height_cm,Volume_L,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
Batch12_2024,27-Jun-24,C-S-3,63,33.7,683.4927518,30.55,,343467,68.8624,,,40573,0.27173,,,,,,
Batch12_2024,27-Jun-24,S-M-3,0,31.1,683.4927518,30.3,,39227,8.0144,,,39929,0.26529,,,,,,
Batch12_2024,27-Jun-24,S-M-3,21,32.4,683.4927518,30.3,,64061,12.9812,,,41496,0.28096,,,,,,
Batch12_2024,27-Jun-24,S-M-3,42,32.6,683.4927518,30.3,,87789,17.7268,,,41444,0.28044,,,,,,
Batch12_2024,27-Jun-24,S-M-3,63,32.4,683.4927518,30.3,,110621,22.2932,,,40685,0.27285,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,0,30.4,683.4927518,30.1,,79580,16.085,,,40699,0.27299,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,21,32.6,683.4927518,30.1,,132422,26.6534,,,39834,0.26434,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,42,32.5,683.4927518,30.1,,193813,38.9316,,,40010,0.2661,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,63,31.4,683.4927518,30.1,,247312,49.6314,,,40728,0.27328,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,0,31.9,683.4927518,30.75,,85507,17.2704,,,40651,0.27251,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,21,32.7,683.4927518,30.75,,134387,27.0464,,,41069,0.27669,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,42,32.9,683.4927518,30.75,,189081,37.9852,,,40900,0.275,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,63,32.9,683.4927518,30.75,,233531,46.8752,,,40733,0.27333,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,0,29.4,683.4927518,31.05,,19762,4.1214,,,41891,0.28491,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,21,29.7,683.4927518,31.05,,68369,13.8428,,,40459,0.27059,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,42,29.7,683.4927518,31.05,,110988,22.3666,,,40833,0.27433,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,63,29.9,683.4927518,31.05,,151773,30.5236,,,40002,0.26602,,,,,,
Batch12_2024,27-Jun-24,C-4,0,27.6,683.4927518,30.225,,16788,3.5266,,,41711,0.28311,,,,,,
Batch12_2024,27-Jun-24,C-4,21,30.3,683.4927518,30.225,,133189,26.8068,,,41242,0.27842,,,,,,
Batch12_2024,27-Jun-24,C-4,42,30.3,683.4927518,30.225,,241222,48.4134,,,41370,0.2797,,,,,,
Batch12_2024,27-Jun-24,C-4,63,29.4,683.4927518,30.225,,351103,70.3896,,,42500,0.291,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,0,28.4,683.4927518,30.05,,15137,3.1964,,,41343,0.27943,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,21,30.5,683.4927518,30.05,,58962,11.9614,,,40461,0.27061,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,42,34.2,683.4927518,30.05,,100696,20.3082,,,39589,0.26189,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,63,31.5,683.4927518,30.05,,142020,28.573,,,40661,0.27261,,,,,,
Batch12_2024,27-Jun-24,S-M-4,0,27.8,683.4927518,30.15,,14840,3.137,,,40029,0.26629,,,,,,
Batch12_2024,27-Jun-24,S-M-4,21,31.5,683.4927518,30.15,,59950,12.159,,,40432,0.27032,,,,,,
Batch12_2024,27-Jun-24,S-M-4,42,31.6,683.4927518,30.15,,103659,20.9008,,,40901,0.27501,,,,,,
Batch12_2024,27-Jun-24,S-M-4,63,30.1,683.4927518,30.15,,145397,29.2484,,,39303,0.25903,,,,,,
Batch12_2024,27-Jun-24,C-S-4,0,29.6,683.4927518,30.15,,13342,2.8374,,,40850,0.2745,,,,,,
Batch12_2024,27-Jun-24,C-S-4,21,30.6,683.4927518,30.15,,51088,10.3866,,,41482,0.28082,,,,,,
Batch12_2024,27-Jun-24,C-S-4,42,32,683.4927518,30.15,,86432,17.4554,,,40181,0.26781,,,,,,
Batch12_2024,27-Jun-24,C-S-4,63,30.6,683.4927518,30.15,,119801,24.1292,,,41238,0.27838,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,0,35.2,683.4927518,81.07,,84743,17.0872,,,36840,0.253,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,21,36.3,683.4927518,81.07,,236721,47.4828,,,38041,0.26501,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,42,36.9,683.4927518,81.07,,426998,85.5382,,,39207,0.27667,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,63,37.8,683.4927518,81.07,,604575,121.0536,,,38374,0.26834,,,,,,
Batch14_2024,01-Aug-24,C-S-1,0,33.9,683.4927518,80.87,,64968,13.1322,,,38120,0.2658,,,,,,
Batch14_2024,01-Aug-24,C-S-1,21,36.3,683.4927518,80.87,,190049,38.1484,,,37779,0.26239,,,,,,
Batch14_2024,01-Aug-24,C-S-1,42,37.9,683.4927518,80.87,,343349,68.8084,,,38058,0.26518,,,,,,
Batch14_2024,01-Aug-24,C-S-1,63,38.2,683.4927518,80.87,,498803,99.8992,,,39641,0.28101,,,,,,
Batch14_2024,01-Aug-24,S-M-1,0,36,683.4927518,79.57,,93336,18.8058,,,37371,0.25831,,,,,,
Batch14_2024,01-Aug-24,S-M-1,21,34.4,683.4927518,79.57,,229867,46.112,,,37933,0.26393,,,,,,
Batch14_2024,01-Aug-24,S-M-1,42,35.9,683.4927518,79.57,,382312,76.601,,,38151,0.26611,,,,,,
Batch14_2024,01-Aug-24,S-M-1,63,35,683.4927518,79.57,,521456,104.4298,,,38473,0.26933,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,0,36,683.4927518,79.645,,61272,12.393,,,38474,0.26934,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,21,36.6,683.4927518,79.645,,208670,41.8726,,,38026,0.26486,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,42,39.1,683.4927518,79.645,,382880,76.7146,,,38136,0.26596,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,63,39.1,683.4927518,79.645,,550141,110.1668,,,38773,0.27233,,,,,,
Batch14_2024,01-Aug-24,C-1,0,39.9,683.4927518,78.145,,62594,12.6574,,,38683,0.27143,,,,,,
Batch14_2024,01-Aug-24,C-1,21,40.9,683.4927518,78.145,,205119,41.1624,,,39025,0.27485,,,,,,
Batch14_2024,01-Aug-24,C-1,42,42.9,683.4927518,78.145,,348819,69.9024,,,38302,0.26762,,,,,,
Batch14_2024,01-Aug-24,C-1,63,42.7,683.4927518,78.145,,475145,95.1676,,,38061,0.26521,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,0,34.6,683.4927518,79.495,,48106,9.7598,,,38521,0.26981,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,21,36.1,683.4927518,79.495,,149608,30.0602,,,38252,0.26712,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,42,36.3,683.4927518,79.495,,270450,54.2286,,,37997,0.26457,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,63,37.8,683.4927518,79.495,,385629,77.2644,,,38158,0.26618,,,,,,
Batch14_2024,01-Aug-24,C-2,0,36.4,683.4927518,78.42,,58467,11.832,,,38134,0.26594,,,,,,
Batch14_2024,01-Aug-24,C-2,21,38.9,683.4927518,78.42,,174309,35.0004,,,38979,0.27439,,,,,,
Batch14_2024,01-Aug-24,C-2,42,39.7,683.4927518,78.42,,310583,62.2552,,,39183,0.27643,,,,,,
Batch14_2024,01-Aug-24,C-2,63,41,683.4927518,78.42,,437127,87.564,,,38263,0.26723,,,,,,
Batch14_2024,01-Aug-24,C-S-2,0,35.6,683.4927518,79.02,,66194,13.3774,,,37970,0.2643,,,,,,
Batch14_2024,01-Aug-24,C-S-2,21,37.7,683.4927518,79.02,,158631,31.8648,,,38147,0.26607,,,,,,
Batch14_2024,01-Aug-24,C-S-2,42,37.5,683.4927518,79.02,,259664,52.0714,,,38514,0.26974,,,,,,
Batch14_2024,01-Aug-24,C-S-2,63,38.1,683.4927518,79.02,,352226,70.5838,,,37741,0.26201,,,,,,
Batch14_2024,01-Aug-24,S-M-2,0,36.8,683.4927518,79.695,,104024,20.9434,,,37052,0.25512,,,,,,
Batch14_2024,01-Aug-24,S-M-2,21,37.4,683.4927518,79.695,,275683,55.2752,,,37853,0.26313,,,,,,
Batch14_2024,01-Aug-24,S-M-2,42,38.3,683.4927518,79.695,,458974,91.9334,,,38023,0.26483,,,,,,
Batch14_2024,01-Aug-24,S-M-2,63,38.3,683.4927518,79.695,,632065,126.5516,,,38007,0.26467,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,0,40.8,683.4927518,75.945,,107580,21.6546,,,36974,0.25434,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,21,42,683.4927518,75.945,,309473,62.0332,,,37877,0.26337,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,42,41.7,683.4927518,75.945,,505344,101.2074,,,37250,0.2571,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,63,43.1,683.4927518,75.945,,756101,151.3588,,,37451,0.25911,,,,,,
Batch14_2024,01-Aug-24,C-3,0,37.5,683.4927518,79.595,,48004,9.7394,,,38154,0.26614,,,,,,
Batch14_2024,01-Aug-24,C-3,21,40.7,683.4927518,79.595,,132319,26.6024,,,38007,0.26467,,,,,,
Batch14_2024,01-Aug-24,C-3,42,40.8,683.4927518,79.595,,294552,59.049,,,38130,0.2659,,,,,,
Batch14_2024,01-Aug-24,C-3,63,42.4,683.4927518,79.595,,389539,78.0464,,,37368,0.25828,,,,,,
Batch14_2024,01-Aug-24,C-S-3,0,37.1,683.4927518,79.57,,59909,12.1204,,,37739,0.26199,,,,,,
Batch14_2024,01-Aug-24,C-S-3,21,37.3,683.4927518,79.57,,155927,31.324,,,38789,0.27249,,,,,,
Batch14_2024,01-Aug-24,C-S-3,42,37.9,683.4927518,79.57,,315294,63.1974,,,38716,0.27176,,,,,,
Batch14_2024,01-Aug-24,C-S-3,63,39.5,683.4927518,79.57,,510359,102.2104,,,37729,0.26189,,,,,,
Batch14_2024,01-Aug-24,S-M-3,0,33.6,683.4927518,79.27,,68567,13.852,,,37717,0.26177,,,,,,
Batch14_2024,01-Aug-24,S-M-3,21,37.8,683.4927518,79.27,,144589,29.0564,,,37559,0.26019,,,,,,
Batch14_2024,01-Aug-24,S-M-3,42,38.1,683.4927518,79.27,,269624,54.0634,,,38711,0.27171,,,,,,
Batch14_2024,01-Aug-24,S-M-3,63,39.4,683.4927518,79.27,,339633,68.0652,,,39013,0.27473,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,0,39.1,683.4927518,78.895,,90550,18.2486,,,39329,0.27789,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,21,39.9,683.4927518,78.895,,206925,41.5236,,,38148,0.26608,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,42,41.2,683.4927518,78.895,,386925,77.5236,,,37890,0.2635,,,,,,
Batch14_2024,01-Aug-24,S-M-W-3,63,41.5,683.4927518,78.895,,538881,107.9148,,,38807,0.27267,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,0,36.1,683.4927518,79.77,,95497,19.238,,,38083,0.26543,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,21,38.1,683.4927518,79.77,,176183,35.3752,,,37063,0.25523,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,42,40.1,683.4927518,79.77,,342502,68.639,,,38043,0.26503,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-3,63,41,683.4927518,79.77,,435742,87.287,,,38273,0.26733,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,0,34.9,683.4927518,79.97,,46697,9.478,,,37892,0.26352,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,21,35.6,683.4927518,79.97,,137366,27.6118,,,39157,0.27617,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,42,38.2,683.4927518,79.97,,255705,51.2796,,,37276,0.25736,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-4,63,41.2,683.4927518,79.97,,363809,72.9004,,,39697,0.28157,,,,,,
Batch14_2024,01-Aug-24,C-4,0,38.9,683.4927518,78.97,,44423,9.0232,,,38842,0.27302,,,,,,
Batch14_2024,01-Aug-24,C-4,21,37.8,683.4927518,78.97,,131822,26.503,,,38210,0.2667,,,,,,
Batch14_2024,01-Aug-24,C-4,42,39,683.4927518,78.97,,260479,52.2344,,,37835,0.26295,,,,,,
Batch14_2024,01-Aug-24,C-4,63,37.6,683.4927518,78.97,,359000,71.9386,,,38351,0.26811,,,,,,
Batch14_2024,01-Aug-24,S-M-W-4,0,36.2,683.4927518,78.995,,87014,17.5414,,,37008,0.25468,,,,,,
Batch14_2024,01-Aug-24,S-M-W-4,21,36.6,683.4927518,78.995,,208288,41.7962,,,38415,0.26875,,,,,,
Batch14_2024,01-Aug-24,S-M-W-4,42,36.8,683.4927518,78.995,,315120,63.1626,,,37838,0.26298,,,,,,
Batch14_2024,01-Aug-24,S-M-W-4,63,37.5,683.4927518,78.995,,501953,100.5292,,,38001,0.26461,,,,,,
Batch14_2024,01-Aug-24,S-M-4,0,40,683.4927518,79.27,,67372,13.613,,,38070,0.2653,,,,,,
Batch14_2024,01-Aug-24,S-M-4,21,41.5,683.4927518,79.27,,191454,38.4294,,,38759,0.27219,,,,,,
Batch14_2024,01-Aug-24,S-M-4,42,42.8,683.4927518,79.27,,326728,65.4842,,,38090,0.2655,,,,,,
Batch14_2024,01-Aug-24,S-M-4,63,43.1,683.4927518,79.27,,464688,93.0762,,,35822,0.24282,,,,,,
Batch14_2024,01-Aug-24,C-S-4,0,36.3,683.4927518,79.07,,79001,15.9388,,,37746,0.26206,,,,,,
Batch14_2024,01-Aug-24,C-S-4,21,41.3,683.4927518,79.07,,181124,36.3634,,,38090,0.2655,,,,,,
Batch14_2024,01-Aug-24,C-S-4,42,42.7,683.4927518,79.07,,294139,58.9664,,,37199,0.25659,,,,,,
Batch14_2024,01-Aug-24,C-S-4,63,42.9,683.4927518,79.07,,396874,79.5134,,,38621,0.27081,,,,,,
