GC_Run ,Date,Plot,Treatment,Time_mins ,Chamber_Temp_C,Surface_Area_m2,Height_m,Volume_m3,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
Batch12_2024,27-Jun-24,S-M-3,SM,63,32.4,0.068349275,0.303,,110621,,,,40685,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,SMW,0,30.4,0.068349275,0.301,,79580,,,,40699,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,SMW,21,32.6,0.068349275,0.301,,132422,,,,39834,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,SMW,42,32.5,0.068349275,0.301,,193813,,,,40010,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-3,SMW,63,31.4,0.068349275,0.301,,247312,,,,40728,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,CSMD,0,31.9,0.068349275,0.3075,,85507,,,,40651,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,CSMD,21,32.7,0.068349275,0.3075,,134387,,,,41069,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,CSMD,42,32.9,0.068349275,0.3075,,189081,,,,40900,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-3,CSMD,63,32.9,0.068349275,0.3075,,233531,,,,40733,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,CSMD,0,29.4,0.068349275,0.3105,,19762,,,,41891,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,CSMD,21,29.7,0.068349275,0.3105,,68369,,,,40459,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,CSMD,42,29.7,0.068349275,0.3105,,110988,,,,40833,,,,,,,
Batch12_2024,27-Jun-24,C-S-MD-4,CSMD,63,29.9,0.068349275,0.3105,,151773,,,,40002,,,,,,,
Batch12_2024,27-Jun-24,C-4,C,0,27.6,0.068349275,0.30225,,16788,,,,41711,,,,,,,
Batch12_2024,27-Jun-24,C-4,C,21,30.3,0.068349275,0.30225,,133189,,,,41242,,,,,,,
Batch12_2024,27-Jun-24,C-4,C,42,30.3,0.068349275,0.30225,,241222,,,,41370,,,,,,,
Batch12_2024,27-Jun-24,C-4,C,63,29.4,0.068349275,0.30225,,351103,,,,42500,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,SMW,0,28.4,0.068349275,0.3005,,15137,,,,41343,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,SMW,21,30.5,0.068349275,0.3005,,58962,,,,40461,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,SMW,42,34.2,0.068349275,0.3005,,100696,,,,39589,,,,,,,
Batch12_2024,27-Jun-24,S-M-W-4,SMW,63,31.5,0.068349275,0.3005,,142020,,,,40661,,,,,,,
Batch12_2024,27-Jun-24,S-M-4,SM,0,27.8,0.068349275,0.3015,,14840,,,,40029,,,,,,,
Batch12_2024,27-Jun-24,S-M-4,SM,21,31.5,0.068349275,0.3015,,59950,,,,40432,,,,,,,
Batch12_2024,27-Jun-24,S-M-4,SM,42,31.6,0.068349275,0.3015,,103659,,,,40901,,,,,,,
Batch12_2024,27-Jun-24,S-M-4,SM,63,30.1,0.068349275,0.3015,,145397,,,,39303,,,,,,,
Batch12_2024,27-Jun-24,C-S-4,CS,0,29.6,0.068349275,0.3015,,13342,,,,40850,,,,,,,
Batch12_2024,27-Jun-24,C-S-4,CS,21,30.6,0.068349275,0.3015,,51088,,,,41482,,,,,,,
Batch12_2024,27-Jun-24,C-S-4,CS,42,32,0.068349275,0.3015,,86432,,,,40181,,,,,,,
Batch12_2024,27-Jun-24,C-S-4,CS,63,30.6,0.068349275,0.3015,,119801,,,,41238,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,SMW,0,35.2,0.068349275,0.8107,,84743,,,,36840,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,SMW,21,36.3,0.068349275,0.8107,,236721,,,,38041,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,SMW,42,36.9,0.068349275,0.8107,,426998,,,,39207,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-1,SMW,63,37.8,0.068349275,0.8107,,604575,,,,38374,,,,,,,
Batch14_2024,01-Aug-24,C-S-1,CS,0,33.9,0.068349275,0.8087,,64968,,,,38120,,,,,,,
Batch14_2024,01-Aug-24,C-S-1,CS,21,36.3,0.068349275,0.8087,,190049,,,,37779,,,,,,,
Batch14_2024,01-Aug-24,C-S-1,CS,42,37.9,0.068349275,0.8087,,343349,,,,38058,,,,,,,
Batch14_2024,01-Aug-24,C-S-1,CS,63,38.2,0.068349275,0.8087,,498803,,,,39641,,,,,,,
Batch14_2024,01-Aug-24,S-M-1,SM,0,36,0.068349275,0.7957,,93336,,,,37371,,,,,,,
Batch14_2024,01-Aug-24,S-M-1,SM,21,34.4,0.068349275,0.7957,,229867,,,,37933,,,,,,,
Batch14_2024,01-Aug-24,S-M-1,SM,42,35.9,0.068349275,0.7957,,382312,,,,38151,,,,,,,
Batch14_2024,01-Aug-24,S-M-1,SM,63,35,0.068349275,0.7957,,521456,,,,38473,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,CSMD,0,36,0.068349275,0.79645,,61272,,,,38474,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,CSMD,21,36.6,0.068349275,0.79645,,208670,,,,38026,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,CSMD,42,39.1,0.068349275,0.79645,,382880,,,,38136,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-1,CSMD,63,39.1,0.068349275,0.79645,,550141,,,,38773,,,,,,,
Batch14_2024,01-Aug-24,C-1,C,0,39.9,0.068349275,0.78145,,62594,,,,38683,,,,,,,
Batch14_2024,01-Aug-24,C-1,C,21,40.9,0.068349275,0.78145,,205119,,,,39025,,,,,,,
Batch14_2024,01-Aug-24,C-1,C,42,42.9,0.068349275,0.78145,,348819,,,,38302,,,,,,,
Batch14_2024,01-Aug-24,C-1,C,63,42.7,0.068349275,0.78145,,475145,,,,38061,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,CSMD,0,34.6,0.068349275,0.79495,,48106,,,,38521,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,CSMD,21,36.1,0.068349275,0.79495,,149608,,,,38252,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,CSMD,42,36.3,0.068349275,0.79495,,270450,,,,37997,,,,,,,
Batch14_2024,01-Aug-24,C-S-MD-2,CSMD,63,37.8,0.068349275,0.79495,,385629,,,,38158,,,,,,,
Batch14_2024,01-Aug-24,C-2,C,0,36.4,0.068349275,0.7842,,58467,,,,38134,,,,,,,
Batch14_2024,01-Aug-24,C-2,C,21,38.9,0.068349275,0.7842,,174309,,,,38979,,,,,,,
Batch14_2024,01-Aug-24,C-2,C,42,39.7,0.068349275,0.7842,,310583,,,,39183,,,,,,,
Batch14_2024,01-Aug-24,C-2,C,63,41,0.068349275,0.7842,,437127,,,,38263,,,,,,,
Batch14_2024,01-Aug-24,C-S-2,CS,0,35.6,0.068349275,0.7902,,66194,,,,37970,,,,,,,
Batch14_2024,01-Aug-24,C-S-2,CS,21,37.7,0.068349275,0.7902,,158631,,,,38147,,,,,,,
Batch14_2024,01-Aug-24,C-S-2,CS,42,37.5,0.068349275,0.7902,,259664,,,,38514,,,,,,,
Batch14_2024,01-Aug-24,C-S-2,CS,63,38.1,0.068349275,0.7902,,352226,,,,37741,,,,,,,
Batch14_2024,01-Aug-24,S-M-2,SM,0,36.8,0.068349275,0.79695,,104024,,,,37052,,,,,,,
Batch14_2024,01-Aug-24,S-M-2,SM,21,37.4,0.068349275,0.79695,,275683,,,,37853,,,,,,,
Batch14_2024,01-Aug-24,S-M-2,SM,42,38.3,0.068349275,0.79695,,458974,,,,38023,,,,,,,
Batch14_2024,01-Aug-24,S-M-2,SM,63,38.3,0.068349275,0.79695,,632065,,,,38007,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,SMW,0,40.8,0.068349275,0.75945,,107580,,,,36974,,,,,,,
Batch14_2024,01-Aug-24,S-M-W-2,SMW,21,42,0.068349275,0.75945,,309473,,,,37877,,,,,,,
