GC_Run ,Date,Plot,Time_mins ,Chamber_Temp_C,Surface_Area_m2,Height_m,Volume_m3,Sample_CH4_Peak,Sample_CH4_ppm,Sample_CO2_Peak,Sample_CO2_ppm,Sample_N2O_Peak,Sample_N2O_ppm,Sample_Gas1_Peak,Sample_Gas1_ppm,Sample_Gas2_Peak,Sample_Gas2_ppm,Sample_Gas3_Peak,Sample_Gas3_ppm
,28-Aug-24,205,30,30.5,0.068349275,,0.053196241,,2.407460185,,1001.330868,,0.3764407,,,,,,
,28-Aug-24,205,45,30.8,0.068349275,,0.053196241,,2.388911024,,1195.291104,,0.391666899,,,,,,
,28-Aug-24,205,60,31.8,0.068349275,,0.053196241,,2.465356053,,1465.705388,,0.408483895,,,,,,
,28-Aug-24,206,0,28.6,0.068349275,,0.053367114,,2.435564975,,467.5409036,,0.354339986,,,,,,
,28-Aug-24,206,15,29.9,0.068349275,,0.053367114,,2.399590844,,675.3425654,,0.357502642,,,,,,
,28-Aug-24,206,30,32.9,0.068349275,,0.053367114,,2.39340779,,893.1616059,,0.393731147,,,,,,
,28-Aug-24,206,45,32.7,0.068349275,,0.053367114,,2.427695634,,1070.871071,,0.412896462,,,,,,
,28-Aug-24,206,60,34.2,0.068349275,,0.053367114,,2.430506113,,1298.344086,,0.440432399,,,,,,
,28-Aug-24,301,0,29.1,0.068349275,,0.073413956,,2.411394856,,463.0301072,,0.357862465,,,,,,
,28-Aug-24,301,15,29.3,0.068349275,,0.073413956,,2.447931083,,763.2533043,,0.368126893,,,,,,
,28-Aug-24,301,30,32.5,0.068349275,,0.073413956,,2.425447251,,878.5710512,,0.386496809,,,,,,
,28-Aug-24,301,45,29.3,0.068349275,,0.073413956,,2.518755154,,1154.713395,,0.355040695,,,,,,
,28-Aug-24,301,60,32.8,0.068349275,,0.073413956,,2.395656174,,1290.689696,,0.396836989,,,,,,
,28-Aug-24,302,0,27.5,0.068349275,,0.073601917,,2.411394856,,463.0301072,,0.357862465,,,,,,
,28-Aug-24,302,15,27,0.068349275,,0.073601917,,2.487277789,,686.0632895,,0.342238567,,,,,,
,28-Aug-24,302,30,27.9,0.068349275,,0.073601917,,2.572154255,,840.167475,,0.355855031,,,,,,
,28-Aug-24,302,45,30.8,0.068349275,,0.073601917,,2.574402638,,960.0274942,,0.384091676,,,,,,
,28-Aug-24,302,60,29.4,0.068349275,,0.073601917,,2.478846352,,1066.038648,,0.359396448,,,,,,
,28-Aug-24,303,0,24.48,0.068349275,,0.074507545,,2.411394856,,463.0301072,,0.357862465,,,,,,
,28-Aug-24,303,15,26.02,0.068349275,,0.074507545,,2.423198868,,639.5011353,,0.363165122,,,,,,
,28-Aug-24,303,30,27.94,0.068349275,,0.074507545,,2.452427849,,750.8775152,,0.372312204,,,,,,
,28-Aug-24,303,45,31.96666667,0.068349275,,0.074507545,,2.438375454,,852.7424214,,0.354321048,,,,,,
,28-Aug-24,303,60,30.4,0.068349275,,0.074507545,,2.462545574,,966.6345918,,0.392405483,,,,,,
,28-Aug-24,304,0,28.1,0.068349275,,0.074456283,,2.411956952,,465.8801156,,0.336292017,,,,,,
,28-Aug-24,304,15,28.4,0.068349275,,0.074456283,,2.450179466,,622.0668674,,0.347313967,,,,,,
,28-Aug-24,304,30,31.4,0.068349275,,0.074456283,,2.415329526,,728.4688954,,0.346196621,,,,,,
